section_order,section,row,framework_id,score,note
3,Agent API,Streaming protocol (SSE/WS),mastra,5,Hono SSE server
3,Agent API,Streaming protocol (SSE/WS),claude-agent-sdk-python,2,stdio stream only
3,Agent API,Streaming protocol (SSE/WS),eino,1,in-process iterator
3,Agent API,Live agentic event stream,mastra,5,rich chunk stream
3,Agent API,Live agentic event stream,claude-agent-sdk-python,4,typed CLI messages
3,Agent API,Live agentic event stream,eino,4,AgentEvent iterator
3,Agent API,Auth termination + tenant scope,mastra,4,RBAC/FGA routes
3,Agent API,Auth termination + tenant scope,claude-agent-sdk-python,0,HTTP BYO
3,Agent API,Auth termination + tenant scope,eino,0,HTTP/auth BYO
3,Agent API,Resume / replay endpoint,mastra,4,observe/resume routes
3,Agent API,Resume / replay endpoint,claude-agent-sdk-python,3,"resume, no endpoint"
3,Agent API,Resume / replay endpoint,eino,2,runner resume only
3,Agent API,Interrupt / cancel in-flight run,mastra,3,connection/app cancel
3,Agent API,Interrupt / cancel in-flight run,claude-agent-sdk-python,3,abort library call
3,Agent API,Interrupt / cancel in-flight run,eino,3,context cancel
3,Agent API,Tool-arg streaming (partial JSON),mastra,5,tool chunks stream
3,Agent API,Tool-arg streaming (partial JSON),claude-agent-sdk-python,5,partial messages
3,Agent API,Tool-arg streaming (partial JSON),eino,2,not network exposed
3,Agent API,HITL approval workflow,mastra,5,approve/decline routes
3,Agent API,HITL approval workflow,claude-agent-sdk-python,5,permission workflow
3,Agent API,HITL approval workflow,eino,4,interrupt/resume
