section_order,section,row,framework_id,report_path,report_section,line_ref,evidence_note
3,Agent API,Streaming protocol (SSE/WS),mastra,reports/mastra.md,Q6 Agent API Exposition,792,Hono SSE server
3,Agent API,Streaming protocol (SSE/WS),claude-agent-sdk-python,reports/claude-agent-sdk-python.md,Q6 Agent API Exposition,946,stdio stream only
3,Agent API,Streaming protocol (SSE/WS),eino,reports/eino.md,Q6 Agent API Exposition,1233,in-process iterator
3,Agent API,Live agentic event stream,mastra,reports/mastra.md,Q6 Agent API Exposition,792,rich chunk stream
3,Agent API,Live agentic event stream,claude-agent-sdk-python,reports/claude-agent-sdk-python.md,Q6 Agent API Exposition,946,typed CLI messages
3,Agent API,Live agentic event stream,eino,reports/eino.md,Q6 Agent API Exposition,1233,AgentEvent iterator
3,Agent API,Auth termination + tenant scope,mastra,reports/mastra.md,Q6 Agent API Exposition,792,RBAC/FGA routes
3,Agent API,Auth termination + tenant scope,claude-agent-sdk-python,reports/claude-agent-sdk-python.md,Q6 Agent API Exposition,946,HTTP BYO
3,Agent API,Auth termination + tenant scope,eino,reports/eino.md,Q6 Agent API Exposition,1233,HTTP/auth BYO
3,Agent API,Resume / replay endpoint,mastra,reports/mastra.md,Q6 Agent API Exposition,792,observe/resume routes
3,Agent API,Resume / replay endpoint,claude-agent-sdk-python,reports/claude-agent-sdk-python.md,Q6 Agent API Exposition,946,"resume, no endpoint"
3,Agent API,Resume / replay endpoint,eino,reports/eino.md,Q6 Agent API Exposition,1233,runner resume only
3,Agent API,Interrupt / cancel in-flight run,mastra,reports/mastra.md,Q6 Agent API Exposition,792,connection/app cancel
3,Agent API,Interrupt / cancel in-flight run,claude-agent-sdk-python,reports/claude-agent-sdk-python.md,Q6 Agent API Exposition,946,abort library call
3,Agent API,Interrupt / cancel in-flight run,eino,reports/eino.md,Q6 Agent API Exposition,1233,context cancel
3,Agent API,Tool-arg streaming (partial JSON),mastra,reports/mastra.md,Q6 Agent API Exposition,792,tool chunks stream
3,Agent API,Tool-arg streaming (partial JSON),claude-agent-sdk-python,reports/claude-agent-sdk-python.md,Q6 Agent API Exposition,946,partial messages
3,Agent API,Tool-arg streaming (partial JSON),eino,reports/eino.md,Q6 Agent API Exposition,1233,not network exposed
3,Agent API,HITL approval workflow,mastra,reports/mastra.md,Q6 Agent API Exposition,792,approve/decline routes
3,Agent API,HITL approval workflow,claude-agent-sdk-python,reports/claude-agent-sdk-python.md,Q6 Agent API Exposition,946,permission workflow
3,Agent API,HITL approval workflow,eino,reports/eino.md,Q6 Agent API Exposition,1233,interrupt/resume
